1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,34. CHEMICAL
2021,08070GNSCHINDUS,1.10E+11,SIEGFRIED USA LLC,33 INDUSTRIAL PARK RD,PENNSVILLE,SALEM,NJ,8070,Methanol
2021,0802WCHMRS67CAN,1.10E+11,CHEMOURS CHAMBERS WORKS,67 CANAL ROAD,DEEPWATER,SALEM,NJ,8023,Methyl isobutyl ketone
2021,07032VCKRD67CEN,1.10E+11,VECKRIDGE CHEMICAL,60-70 CENTRAL AVE,SOUTH KEARNY,HUDSON,NJ,7032,Ammonia
2021,07114GJCHM37037,1.10E+11,DOREMUS TERMINAL LLC,128 DOREMUS AVE,NEWARK,ESSEX,NJ,7105,Nonylphenol Ethoxylates
2021,0802WCHMRS67CAN,1.10E+11,CHEMOURS CHAMBERS WORKS,67 CANAL ROAD,DEEPWATER,SALEM,NJ,8023,Manganese compounds
2021,07662LLNFN271MA,1.10E+11,ARROW FASTENER CO,271 MAYHILL ST,SADDLE BROOK,BERGEN,NJ,7663,Nickel
2021,0885WCHMRS25CHE,1.10E+11,CHEMOURS PARLIN FACILITY,250 CHEESEQUAKE RD,PARLIN,MIDDLESEX,NJ,8859,Hexafluoropropylene oxide dimer acid
2021,0885WCHMRS25CHE,1.10E+11,CHEMOURS PARLIN FACILITY,250 CHEESEQUAKE RD,PARLIN,MIDDLESEX,NJ,8859,Triethylamine
2021,08859HDMCR500CH,1.10E+11,HD MICROSYSTEMS LLC,250 CHEESEQUAKE RD C/O DUPONT BUILDING 424,PARLIN,MIDDLESEX,NJ,8859,N-Methyl-2-pyrrolidone
2021,07036CNCPHFTFSW,1.10E+11,PHILLIPS 66 CO TREMLEY POINT TERMINAL,FOOT OF S WOOD AVE,LINDEN,UNION,NJ,7036,Certain glycol ethers
2021,0700WLTSLH21HEN,1.10E+11,LTS LOHMANN THERAPY SYSTEMS CORP.,21 HENDERSON DRIVE,WEST CALDWELL,ESSEX,NJ,7006,Toluene
2021,0885WCHMRS25CHE,1.10E+11,CHEMOURS PARLIN FACILITY,250 CHEESEQUAKE RD,PARLIN,MIDDLESEX,NJ,8859,N-Methyl-2-pyrrolidone
2021,08014MNSNTROUTE,1.10E+11,VALTRIS SPECIALTY CHEMICALS-DELAWARE RIVER PLANT,170 RT 130 S,BRIDGEPORT,GLOUCESTER,NJ,8014,Toluene
2021,08103STTMT941SO,1.10E+11,STATE METAL INDUSTRIES INC,941 S SECOND ST,CAMDEN,CAMDEN,NJ,8103,Copper
2021,08103STTMT941SO,1.10E+11,STATE METAL INDUSTRIES INC,941 S SECOND ST,CAMDEN,CAMDEN,NJ,8103,Chlorine
2021,08030NDCNCNRAIL,1.10E+11,INDCO INC,511 ESSEX STREET,GLOUCESTER CITY,CAMDEN,NJ,8030,Sodium nitrite
2021,08103STTMT941SO,1.10E+11,STATE METAL INDUSTRIES INC,941 S SECOND ST,CAMDEN,CAMDEN,NJ,8103,Dioxin and dioxin-like compounds
2021,0808WMPXXX2155H,1.10E+11,MAPEI,2155 HIGH HILL RD,SWEDESBORO,GLOUCESTER,NJ,8085,Lithium carbonate
2021,07420RRWGRTHIRD,1.10E+11,ARROW SHED LLC,1 THIRD AVE,HASKELL,PASSAIC,NJ,7420,"1,2,4-Trimethylbenzene"
2021,07036GLFLL2600M,1.10E+11,GULF OIL LP LINDEN TERMINAL,2600 MARSHES DOCK RD,LINDEN,UNION,NJ,7036,Naphthalene
2021,08865JTBKR600NO,1.10E+11,AVANTOR PERFORMANCE MATERIALS,600 N BROAD ST,PHILLIPSBURG,WARREN,NJ,8865,Ammonia
2021,07036GLFLL2600M,1.10E+11,GULF OIL LP LINDEN TERMINAL,2600 MARSHES DOCK RD,LINDEN,UNION,NJ,7036,Benzene
2021,08638RCRRL157NL,1.10E+11,R.E. CARROLL  INC.,1570 N OLDEN AVE,TRENTON,MERCER,NJ,8638,Lead
2021,0772WHWLLX86YEL,1.10E+11,HOWELL,86 YELLOWBROOK RD,FREEHOLD,MONMOUTH,NJ,7728,Lead
2021,07074CRSTF100CA,1.10E+11,WOODBRIDGE INOAC TECHNICAL PRODUCTS,100 CAROL PL,MOONACHIE,BERGEN,NJ,7074,Toluene diisocyanate (mixed isomers)
2021,08088SFTYK123RE,1.10E+11,SAFETY-KLEEN SYSTEMS VINCENTOWN (VIN),123 RED LION RD,SOUTHAMPTON,BURLINGTON,NJ,8088,Polycyclic aromatic compounds
2021,08865JTBKR600NO,1.10E+11,AVANTOR PERFORMANCE MATERIALS,600 N BROAD ST,PHILLIPSBURG,WARREN,NJ,8865,Dichloromethane
2021,08865JTBKR600NO,1.10E+11,AVANTOR PERFORMANCE MATERIALS,600 N BROAD ST,PHILLIPSBURG,WARREN,NJ,8865,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)"
2021,08701PRMCL1990R,1.10E+11,NITTO INC.,1990 RUTGERS UNIVERSITY BLVD,LAKEWOOD,OCEAN,NJ,8701,Toluene
2021,07036GLFLL2600M,1.10E+11,GULF OIL LP LINDEN TERMINAL,2600 MARSHES DOCK RD,LINDEN,UNION,NJ,7036,n-Hexane
